gene_id	fpkm_TP53_1	fpkm_TP53_2	fpkm_TP53_3	fpkm_TertTP53_1	fpkm_TertTP53_2	fpkm_TertTP53_3	fpkm_Tert_1	fpkm_Tert_2	fpkm_Tert_3	fpkm_WT_1	fpkm_WT_2	fpkm_WT_3
ENSDARG00000009194	1.02	0.38	0.87	1.2	1.54	0.66	1.03	1.82	3.74	1.57	1.56	1.33
ENSDARG00000009196	0.06	1.32	0	0.19	0	0	4.27	1.27	12.01	0	0	0.22
ENSDARG00000009208	32.31	30.37	21.75	39.51	50.32	12.8	82.11	41.06	28.7	37.32	27.63	55.76
ENSDARG00000009209	6.39	3.25	6.75	7.72	7.86	4.3	8.44	8.05	10.55	9.84	7.98	10.01
ENSDARG00000009212	1057.48	1556.68	848.08	734.53	1110.88	880.72	897.69	957.98	1440.23	952.66	816.14	824.29
ENSDARG00000009214	11.58	8.79	12.66	7.55	8.4	8.69	8.11	11.87	12.31	9.17	10.71	10.11
ENSDARG00000009215	1.11	0.9	0.53	2.75	0.23	0.08	0.57	15.44	2.03	3.48	0.35	2.13
ENSDARG00000009217	22.87	6.01	23.89	15.24	21.18	15.82	19.94	16.44	14.28	20.48	16.49	17.7
ENSDARG00000009218	3.41	5.21	5.49	4.18	3.72	5.14	3.81	3.92	4.56	3.2	4.1	4.5
ENSDARG00000009242	1.55	2.04	2.5	0.45	1.57	0	1.05	11.33	1.43	0.53	0.5	0.16
ENSDARG00000009250	45.18	82.68	45.66	47.95	41.17	43.74	47	57.76	47.49	57.46	49.11	46.8
ENSDARG00000009252	14.54	14.51	13.56	10.92	7.76	15.41	10.43	15.28	8.11	17.72	14.03	11.73
ENSDARG00000009253	26.1	37.88	27.35	35.94	26.83	32.75	25.13	36.81	27.48	30.8	27.38	30.12
ENSDARG00000009262	12.58	2.35	11.86	8.29	13.57	7.69	25.15	15.31	14.62	13.04	18.41	17.1
ENSDARG00000009266	2.78	1.23	2.03	2.27	2.68	1.69	3.15	2.85	3.32	2.48	2.69	2.63
ENSDARG00000009267	3.53	4.17	2.94	2.08	0.85	1.58	1.8	5.85	3.06	3.78	3.77	1.29
