gene_id	tpm_WT_1	tpm_WT_2	tpm_WT_3	tpm_TertTP53_1	tpm_TertTP53_2	tpm_TertTP53_3
ENSDARG00000002168	64.84	81.38	60.53	68.53	83.85	111.13
ENSDARG00000002172	73.16	60.15	73.31	80.72	60.87	27.67
ENSDARG00000002174	13.4	13.86	15.09	16.79	15.18	13.46
ENSDARG00000002184	35.73	35.77	34.05	39.4	39.64	31.35
ENSDARG00000002190	48.83	43.76	46.01	65.42	76.69	37.17
ENSDARG00000002192	0.15	0.08	1.33	0	1.42	0.16
ENSDARG00000002193	24.48	7120.6	12.16	3.18	0.75	230.98
ENSDARG00000002194	2.11	8.09	5.44	5.3	5.15	13.79
ENSDARG00000002196	2.12	0.96	1.18	1.89	1.37	2.38
ENSDARG00000002197	1.63	4.01	2.97	1.54	1.45	0.94
ENSDARG00000002204	0	0	0	0.59	0	0.17
ENSDARG00000002210	67.89	72.21	74.99	52.95	55.46	36.51
ENSDARG00000002213	4.78	2.72	2.87	2.53	4.44	1.51
ENSDARG00000002215	20.77	17.44	21.61	23.81	23.82	18.72
ENSDARG00000002216	19.26	4.67	4.93	41.61	6.68	3.73
ENSDARG00000002217	150.86	184.32	152.14	225.6	205.69	206.3
ENSDARG00000002219	1.45	0.92	1.08	1.53	2	0.87
ENSDARG00000002230	277.65	321.58	286.43	314.27	334.58	409.15
ENSDARG00000002231	0.6	1.06	0.84	0.71	0.48	0.09
ENSDARG00000002235	2.33	4.9	5.19	4.02	3.04	2.42
ENSDARG00000002240	157.08	149.02	163.62	182.92	132.1	168.6
ENSDARG00000002241	11.01	7.92	8.21	7.44	9.69	10.06
ENSDARG00000002249	22.29	23.81	26.46	24.22	21.42	23.26
ENSDARG00000002255	185.79	139.68	125.91	175.64	143.58	109.49
ENSDARG00000002259	0	0	0	0	0	0
ENSDARG00000002264	75.6	79.12	52.58	71.64	49.25	94.22
ENSDARG00000002267	43.47	45.48	46.56	40.24	39.83	43.99
ENSDARG00000002271	68.97	74.26	85.35	77.49	68.22	62.28
ENSDARG00000002285	4.93	7.25	8.26	7.15	8.75	13.11
ENSDARG00000002293	3.2	1.64	3.53	1.62	0.89	6.01
ENSDARG00000002295	0.05	0	0.03	0.19	0	0.06
ENSDARG00000002298	0.94	0.65	1.7	1.31	0.18	1.16
ENSDARG00000002299	3.34	3.24	3.76	2.11	2.25	1.87
ENSDARG00000002300	0.58	4.77	0.11	4.53	4.21	8.54
ENSDARG00000002304	3.18	1.36	2.59	1.79	2.21	1.78
ENSDARG00000002305	46.5	44.84	46.56	53.14	49.31	52.23
ENSDARG00000002311	0.5	1.04	0	1.2	0	0
ENSDARG00000002330	0	0	14.84	0.12	9.21	1.35
ENSDARG00000002332	14.55	15.17	9.85	9.81	14.87	8.45
ENSDARG00000002333	57.14	46.3	94.29	49.04	85.83	40.77
ENSDARG00000002336	1.65	3	3.36	2.07	2.86	1.5
ENSDARG00000002339	41.59	40.39	28.86	30.29	29.43	37.29
ENSDARG00000002344	2498.6	2168.01	2508.98	1511.21	1788.25	1050.96
ENSDARG00000002347	0.13	0.14	0.07	0.56	0.3	0
ENSDARG00000002353	2.26	0.71	1.06	0.6	3.44	1.2
ENSDARG00000002355	0.79	1.06	1.16	0.95	2.23	2.27
ENSDARG00000002362	106.93	128.05	101.64	99.39	89.64	170.9
ENSDARG00000002365	16.44	17.79	15.63	20.93	15.11	18.58
ENSDARG00000002377	5.31	4.4	4.78	3.23	4.05	4.19
ENSDARG00000002385	4.04	3.4	5.09	4.78	3.66	3.13
ENSDARG00000002391	14.05	17.03	9.02	10.88	12.82	3.48
ENSDARG00000002396	6.17	4.81	6.94	8.09	6.42	3.23
ENSDARG00000002401	3.81	6.76	3.16	4.91	6.54	5.77
ENSDARG00000002402	22.21	20.12	21.16	20.96	24.22	18.46
ENSDARG00000002403	4.68	5.23	3.81	3.83	7.29	2.32
ENSDARG00000002405	15.74	15.92	18.23	20.23	18.44	12.02
ENSDARG00000002406	1.88	1.02	1.76	2.83	1.23	1.57
ENSDARG00000002411	1.36	6.2	3.11	1.71	2.6	15.03
ENSDARG00000002445	0.59	0.77	0.85	0.14	0.17	0.21
ENSDARG00000002463	12.29	13.34	10.84	7.63	11.91	12.12
ENSDARG00000002467	32.12	37.24	34.02	37.2	33.27	46.74
