ensembl_gene_id	tpm_Tert_1	tpm_Tert_2	tpm_Tert_3	tpm_TertTP53_1	tpm_TertTP53_2	tpm_TertTP53_3
ENSDARG00000002231	2.91	3.16	7.34	0.71	0.48	0.09
ENSDARG00000002235	7.05	16.18	17.17	4.02	3.04	2.42
ENSDARG00000002240	152.51	165.1	127.45	182.92	132.1	168.6
ENSDARG00000002241	16.41	5.5	7.51	7.44	9.69	10.06
ENSDARG00000002249	22.91	17.76	13.78	24.22	21.42	23.26
ENSDARG00000002255	107.04	135.31	100.03	175.64	143.58	109.49
ENSDARG00000002259	0	17.76	1.09	0	0	0
ENSDARG00000002264	67.94	58.88	38.27	71.64	49.25	94.22
ENSDARG00000002267	39.23	45.03	40.61	40.24	39.83	43.99
ENSDARG00000002271	69.94	65.72	66.71	77.49	68.22	62.28
ENSDARG00000002285	12.08	7.98	7.28	7.15	8.75	13.11
ENSDARG00000002293	8.76	1.12	13.61	1.62	0.89	6.01
ENSDARG00000002295	0	0	0	0.19	0	0.06
ENSDARG00000002298	3.56	4.07	3.96	1.31	0.18	1.16
ENSDARG00000002299	3.71	3.4	6.1	2.11	2.25	1.87
ENSDARG00000002300	0.95	4.73	0	4.53	4.21	8.54
ENSDARG00000002304	3.69	3	10.35	1.79	2.21	1.78
ENSDARG00000002305	45.94	45.41	49.76	53.14	49.31	52.23
ENSDARG00000002311	2.09	6.78	0.26	1.2	0	0
ENSDARG00000002330	0.51	2.75	2.73	0.12	9.21	1.35
ENSDARG00000002332	19.3	19.32	9.61	9.81	14.87	8.45
ENSDARG00000002333	38.7	46.43	33.38	49.04	85.83	40.77
ENSDARG00000002336	2.75	9.18	3.39	2.07	2.86	1.5
ENSDARG00000002339	27.15	36.65	26.87	30.29	29.43	37.29
ENSDARG00000002344	2084.81	3009.63	2354.79	1511.21	1788.25	1050.96
ENSDARG00000002347	0.48	0.67	0.46	0.56	0.3	0
ENSDARG00000002353	1.11	14.24	2.13	0.6	3.44	1.2
ENSDARG00000002355	1.13	1.69	1.14	0.95	2.23	2.27
ENSDARG00000002362	164.68	85.75	87.65	99.39	89.64	170.9
ENSDARG00000002365	20.32	19.46	22.1	20.93	15.11	18.58
ENSDARG00000002377	4.2	5.13	3.27	3.23	4.05	4.19
ENSDARG00000002385	4.79	4.9	6.51	4.78	3.66	3.13
ENSDARG00000002391	31.45	25.74	22.96	10.88	12.82	3.48
ENSDARG00000002396	4.73	5.27	4.52	8.09	6.42	3.23
ENSDARG00000002401	9.41	11.45	11.79	4.91	6.54	5.77
ENSDARG00000002402	17.91	19.1	15.77	20.96	24.22	18.46
ENSDARG00000002403	2.42	6.58	14.29	3.83	7.29	2.32
ENSDARG00000002405	11.35	15.55	13.6	20.23	18.44	12.02
ENSDARG00000002406	0.72	3.37	1.67	2.83	1.23	1.57
ENSDARG00000002411	17.43	1.09	8.95	1.71	2.6	15.03
ENSDARG00000002445	0.57	1.1	4.51	0.14	0.17	0.21
ENSDARG00000002463	21.75	11.08	7.75	7.63	11.91	12.12
ENSDARG00000002467	34.52	39.5	24.82	37.2	33.27	46.74
ENSDARG00000002479	1.12	1.32	9.73	0.71	1.05	0.21
ENSDARG00000002483	2.17	0.41	10.76	0	0	0
ENSDARG00000002487	12.9	11.55	12.65	11.04	9.05	13.69
ENSDARG00000002494	4.83	1.54	32.59	0.49	0.17	0.16
ENSDARG00000002506	51.58	84.44	48.57	81.01	82.05	79.31
ENSDARG00000002507	1.22	1.13	1.17	2	0.75	0.51
ENSDARG00000002508	0	0	0	0.15	0.09	0
ENSDARG00000002509	1.84	1.42	3.79	0.11	1	0.94
ENSDARG00000002510	1.82	2.18	1.55	0.12	9.88	0.99
ENSDARG00000002523	57.06	62.81	50.92	45.5	42.08	39.04
ENSDARG00000002533	2.09	2.97	2.83	2.65	2.19	0.68
ENSDARG00000002536	46.56	42.83	47.47	32.09	36.73	24.65
ENSDARG00000002538	27.38	31.97	27.35	28.76	26.31	25.7
ENSDARG00000002546	139.43	146.07	89.53	190.03	176.86	176.06
ENSDARG00000002549	31.18	40.7	26.63	43	34.01	37.23
ENSDARG00000002552	26.66	28.42	27.9	20.85	21.77	23.61
ENSDARG00000002564	73.1	68.8	49.11	59.62	80.16	65.77
ENSDARG00000002571	36.74	19.54	27.73	15.11	18.25	12.24
ENSDARG00000002576	18.6	22.73	6.53	25.27	4.56	22.82
ENSDARG00000002582	1.44	0.65	3.11	1.07	0.33	0.85
ENSDARG00000002587	99.97	128.93	100.47	192.84	178.83	85.14
ENSDARG00000002589	3.46	5	2.14	6.72	4.21	5.07
ENSDARG00000002591	33.58	46.12	38.87	39.09	46.61	34.53
ENSDARG00000002593	0.52	0.25	0.25	0.1	0.09	1.69
ENSDARG00000002597	0	2.47	0.38	2.85	0.07	0
ENSDARG00000002600	101.67	119.26	96.18	121.29	182.94	33.21
ENSDARG00000002601	1.7	1.52	2.16	2.26	3.19	0.94
ENSDARG00000002607	6.38	10.64	9.62	13.34	16.08	2.3
ENSDARG00000002609	33.64	32.22	21.9	39.59	32.51	24.92
ENSDARG00000002613	5.31	6.05	8.84	10.67	4.39	12.47
ENSDARG00000002632	69.16	80.48	76.96	55.18	49.72	41.41
ENSDARG00000002635	43.69	39.77	32.98	83.51	82.33	68.88
ENSDARG00000002642	21.11	28.59	21.36	26.22	15.83	11.89
ENSDARG00000002644	20.9	41.36	35.4	22.11	13.87	2.69
ENSDARG00000002656	41.87	40.02	33.44	51	75.72	26.94
ENSDARG00000002659	86.8	93.55	106.05	80.67	87	83.46
ENSDARG00000002663	32.69	24.33	25.41	24.29	23.66	30.68
ENSDARG00000002666	3.23	3.03	4.66	3.49	3.54	1.76
ENSDARG00000002670	32.31	32.61	24.06	33.35	34.89	42.36
ENSDARG00000002682	8.77	7.81	5.52	9.6	12.84	6.08
ENSDARG00000002685	0	0	0	0	0	0
ENSDARG00000002690	21.16	30.38	19.11	21.95	19.61	20.46
ENSDARG00000002696	0	1.89	1.17	0	0	4.35
ENSDARG00000002701	4.45	6.89	3.26	5.64	4.42	0.76
ENSDARG00000002707	0	0.9	0	0.31	0.15	0.95
ENSDARG00000002710	165.34	174.59	228.83	188.43	235.47	161.37
ENSDARG00000002720	11.99	13.87	14.06	8.9	10.08	12.63
ENSDARG00000002728	1.56	9.43	5.63	7.16	7.08	0.14
ENSDARG00000002731	44.04	92.69	67.51	58.66	69.9	15.59
ENSDARG00000002732	1.62	1.9	3.46	1.33	1.66	1.42
ENSDARG00000002745	81.25	56.99	116.08	56.53	33.61	37.85
ENSDARG00000002748	3.61	7.22	4.25	6.05	4.29	4.56
ENSDARG00000002750	9.36	9.48	8.23	10.24	12.8	13.27
ENSDARG00000002754	8.3	10.9	10.2	13.69	7.92	8.08
ENSDARG00000002758	28.38	27.76	23.47	39.95	33.66	58.86
ENSDARG00000002760	0.15	0.2	0.83	0.18	0.28	0
ENSDARG00000002764	0	0	0	0	0	0
ENSDARG00000002768	4.77	1.1	710.51	0.78	0	0.46
ENSDARG00000002771	1.95	0.62	1.22	1	0.49	0.8
ENSDARG00000002779	2.11	1.76	1.23	5.01	4.06	15.64
ENSDARG00000002787	27.55	37.2	31.69	45.47	58.38	37.36
ENSDARG00000002790	294.84	301.03	205.77	317.33	303.93	330.27
ENSDARG00000002791	300.93	182.3	190.44	174.47	184.89	155.82
ENSDARG00000002792	29.62	32.1	32.18	33.64	30.89	24.1
ENSDARG00000002795	17.91	11.45	9.96	15.47	13.23	14.66
ENSDARG00000002798	21.46	18.62	17.14	19.55	20.1	24.97
ENSDARG00000002816	15.52	26.77	18.44	30.93	33.79	1.7
ENSDARG00000002826	6.4	6.3	6.14	4.3	5.11	10.38
ENSDARG00000002830	7.78	7.53	12.02	8.38	7.4	6.41
ENSDARG00000002831	0.08	0.57	0	0.24	0.11	0.03
ENSDARG00000002840	66.02	63.14	47.93	87.14	80.27	68.43
ENSDARG00000002847	1.24	2.15	1.52	3.59	4.29	0.97
ENSDARG00000002872	13	13.7	9.73	13.29	17.25	13.65
ENSDARG00000002877	34.7	26.08	31.75	22.01	29.11	25.73
ENSDARG00000002880	29.15	25.04	24.26	30.68	32.41	28.63
ENSDARG00000002894	17.93	24.53	20.05	23.37	21.7	20.62
ENSDARG00000002897	21.54	17.01	15.2	22.2	24.26	16.87
ENSDARG00000002909	13.2	7.61	42.99	0.2	0.74	0.07
ENSDARG00000002912	57.33	77.73	55.23	82.69	74.85	66.94
ENSDARG00000002916	21.13	21.43	25.35	16.42	21	10.56
ENSDARG00000002917	0	0.48	0.07	0.08	0.08	0
ENSDARG00000002933	5.61	2.16	3.09	0.99	2.72	2.21
ENSDARG00000002937	2.05	1.57	3.82	0.1	0.23	0
ENSDARG00000002945	7.28	3.94	4.36	4.57	5.39	3.91
ENSDARG00000002947	15.42	11.31	14.07	15.48	13.66	12.58
ENSDARG00000002949	75.8	85.43	76.3	99.23	87.21	106.75
ENSDARG00000002952	3.78	5.99	8.54	2.42	2.16	1.38
ENSDARG00000002956	16.17	18.83	11.27	10.64	14.67	4.95
ENSDARG00000002959	0.23	0	0.55	0.52	0.38	0
ENSDARG00000002967	49.59	68.65	47.95	76.77	98.88	75.44
ENSDARG00000002968	0.08	0.07	0.22	0	0.17	0
ENSDARG00000002970	195.68	152.55	166.01	226.16	248.03	258.46
ENSDARG00000002971	16.17	19.25	21.85	13.78	18.88	11.97
ENSDARG00000002986	9.01	5.51	6.57	8.01	5.4	8.49
ENSDARG00000002988	2.16	2.56	0.65	6.49	0.37	1.52
ENSDARG00000002991	3.6	4.67	5.1	4.94	3.68	4.67
ENSDARG00000002994	25.41	17.88	15.08	18.92	21.49	26.57
ENSDARG00000003008	72.53	65.15	40.96	77.41	97.52	72.44
ENSDARG00000003017	87.56	70.32	78.87	89.08	74.37	84.16
ENSDARG00000003020	87.71	78.61	43.65	121.72	95.1	78.99
ENSDARG00000003021	7.43	15.09	10.05	10.11	7.98	7.53
ENSDARG00000003022	3.51	5.65	6.32	5.56	3.92	1.54
ENSDARG00000003027	6.54	10.76	6.29	8.57	9.5	9.14
ENSDARG00000003032	274.04	306.24	373.96	299.81	334.29	297.24
ENSDARG00000003035	148.14	125.45	118.06	146.01	165.14	115.67
ENSDARG00000003041	9.88	7.01	11.63	4.93	7.12	6.29
ENSDARG00000003046	10.04	8.72	10.25	10.26	12.72	8.9
ENSDARG00000003054	2.48	21.69	5.56	3.75	5.34	2.13
ENSDARG00000003058	30.38	22.39	20.93	22.62	21.67	39.9
ENSDARG00000003061	9.05	11.81	9.63	8.17	7.57	4.52
ENSDARG00000003068	7.78	9.66	15.9	5.29	9.5	3.92
ENSDARG00000003069	7.78	4.89	6.34	5.81	4.93	6.63
ENSDARG00000003077	0	0.66	0	0	0	0
ENSDARG00000003081	4.47	9.77	12.77	5.16	6.78	3.59
ENSDARG00000003084	13.41	12.28	8.6	14.47	17.25	8.94
ENSDARG00000003085	33.62	25.7	20.26	31.31	34.76	12.86
ENSDARG00000003087	22.45	16.72	21.99	21.94	21.11	16.53
ENSDARG00000003091	9.95	4.25	15.43	0.32	0	0.14
ENSDARG00000003098	49.52	42.42	50.2	50.97	59.81	58.85
ENSDARG00000003109	83.56	109.61	86.99	101.78	88.47	63.09
ENSDARG00000003113	17.49	20.59	31.01	9.26	24.82	9.35
ENSDARG00000003127	120.84	156.22	99.86	235.93	230.47	145.19
ENSDARG00000003132	23.33	46.44	10.37	15.82	8.09	32.47
ENSDARG00000003142	38.28	5.06	6.02	9.02	15.84	71.57
ENSDARG00000003144	10.99	14.39	14.68	9.36	9.19	3.74
ENSDARG00000003146	46.7	14.48	18.95	37.86	27.62	23.11
ENSDARG00000003151	541.27	593.4	398.08	643.54	592.94	652.87
ENSDARG00000003153	40.19	48.28	46.47	46.28	41.89	46.92
ENSDARG00000003157	5.68	7.52	6.18	6.11	6.31	7.07
ENSDARG00000003165	1.72	17.14	4.44	5.89	8.58	2.35
ENSDARG00000003167	33.94	27	22.26	32.24	29.67	26.99
ENSDARG00000003169	127.8	209.64	179.07	365.89	350.05	146.26
ENSDARG00000003175	16.37	25.84	17.04	18.62	18.25	18.88
ENSDARG00000003181	0.75	0.16	7.91	0	0	0
ENSDARG00000003189	99.18	95.62	119.47	103.88	125.02	86.56
ENSDARG00000003193	5.07	13.11	17.28	10.46	0.78	0.18
ENSDARG00000003197	2.3	2.62	2.95	1.2	0	1.71
ENSDARG00000003200	1.81	1.54	6.13	0.56	1.89	0.14
ENSDARG00000003203	0.28	34.58	1.07	0.08	0.15	0
